,p_id,score,num_comments,p_timestamp,direct_reply_comments,direct_comments_proportion,median_direct_reply_time,min_reply_time,P_Sent_Neg,P_Sent_Neu,P_Sent_Pos,P_Sent_Com,median_comment_length,C_Sent_Neg,C_Sent_Neu,C_Sent_Pos,C_Sent_Com,Diff_Sent_Neg,Diff_Sent_Neu,Diff_Sent_Pos,Diff_Sent_Com,C_Neg_Feelings,C_Suicide_Act,C_Goal,C_Medical,C_FPS,P_Neg_Feelings,P_Suicide_Act,P_Goal,P_Medical,P_FPS
0,cz6nfd,596,157,2019-09-03 18:49:51,32.0,0.20382165605095542,34043.03333333333,284.23333333333335,0.24699999999999994,0.537,0.21600000000000033,-0.9976999999999984,25.0,0.136,0.611,0.187,0.0,-0.11099999999999993,0.07399999999999995,-0.02900000000000033,0.9976999999999984,0.06752136752136753,0.039607843137254906,0.0754985754985755,0.020442219440967878,0.0,0.03837953091684435,0.022388059701492536,0.03731343283582089,0.007462686567164179,0.0010660980810234541
1,d2370x,388,42,2019-09-10 08:26:30,6.0,0.14285714285714285,46355.975,1058.45,0.08000000000000004,0.7240000000000001,0.1959999999999999,0.7350999999999994,24.0,0.0965,0.7104999999999999,0.07450000000000001,0.0,0.01649999999999996,-0.013500000000000179,-0.12149999999999989,-0.7350999999999994,0.08347826086956522,0.06666666666666667,0.06666666666666667,0.028006267136701922,0.006666666666666667,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288
2,dzokcl,103,23,2019-11-21 21:36:29,12.0,0.5217391304347826,114.89166666666667,1.75,0.0,1.0,0.0,0.0,5.0,0.0,0.769,0.0,0.0,0.0,-0.23099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,dzjrh6,201,28,2019-11-21 16:04:58,15.0,0.5357142857142857,369.18333333333334,67.6,0.14400000000000004,0.7429999999999999,0.113,-0.9072999999999996,31.0,0.267,0.532,0.137,-0.2449,0.12299999999999997,-0.21099999999999985,0.024000000000000007,0.6623999999999995,0.09375,0.05263157894736842,0.05128205128205128,0.034482758620689655,0.0,0.18292682926829268,0.16260162601626016,0.16260162601626016,0.15447154471544716,0.14634146341463414
4,dzl7x4,144,28,2019-11-21 17:52:33,17.0,0.6071428571428571,225.51666666666668,26.5,0.2510000000000001,0.593,0.156,-0.6496999999999996,34.5,0.243,0.5854999999999999,0.1725,-0.36335,-0.008000000000000118,-0.007500000000000062,0.016499999999999987,0.2863499999999996,0.11933614330874605,0.06754032258064516,0.11237373737373738,0.07475186104218362,0.07077308120133483,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
5,dzkdgh,97,11,2019-11-21 16:52:36,10.0,0.9090909090909091,201.2,19.783333333333335,0.127,0.5670000000000001,0.306,0.9798000000000002,8.0,0.0,0.5,0.492,0.4588,-0.127,-0.06700000000000006,0.186,-0.5210000000000002,0.07692307692307693,0.0,0.3055555555555556,0.0,0.0,0.13761467889908258,0.10091743119266056,0.11926605504587157,0.12844036697247707,0.12844036697247707
6,dzh09p,238,48,2019-11-21 11:48:50,26.0,0.5416666666666666,475.5916666666667,167.03333333333333,0.30400000000000016,0.535,0.1600000000000001,-0.9971000000000007,17.0,0.145,0.649,0.182,0.0,-0.15900000000000017,0.11399999999999999,0.02199999999999991,0.9971000000000007,0.08849557522123894,0.0,0.021739130434782608,0.0,0.0,0.08459214501510574,0.03323262839879154,0.06042296072507553,0.0,0.012084592145015106
7,dzlv8e,34,22,2019-11-21 18:35:24,7.0,0.3181818181818182,124.51666666666667,6.783333333333333,0.21700000000000005,0.33399999999999985,0.45000000000000007,0.20029999999999995,19.0,0.0315,0.679,0.154,0.0386,-0.18550000000000005,0.3450000000000002,-0.29600000000000004,-0.16169999999999995,0.05505279034690799,0.0,0.020833333333333332,0.0,0.0,0.2,0.2,0.2,0.2,0.2
8,dzjknq,54,8,2019-11-21 15:49:51,4.0,0.5,313.8083333333333,231.91666666666666,0.12,0.88,0.0,-0.38180000000000003,14.0,0.0,1.0,0.0,0.0,-0.12,0.12,0.0,0.38180000000000003,0.0,0.0,0.125,0.0,0.08333333333333333,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285
9,dzmgt9,21,9,2019-11-21 19:15:56,6.0,0.6666666666666666,77.80833333333332,5.783333333333333,0.21100000000000002,0.6070000000000001,0.18199999999999997,-0.7184,67.5,0.1905,0.639,0.1385,-0.5537,-0.020500000000000018,0.03199999999999992,-0.043499999999999955,0.16470000000000007,0.12077294685990338,0.06941176470588235,0.0710955710955711,0.032384282384282384,0.032384282384282384,0.1366906474820144,0.10071942446043165,0.1366906474820144,0.1079136690647482,0.1223021582733813
